Time [s], Analyzer Name, Decoded Protocol Result
4.669823708333333,SPI,MOSI: 0x99
4.669828083333333,SPI,MOSI: 0x9F
4.669832458333333,SPI,MOSI: 0xEE
4.669836833333333,SPI,MOSI: 0xFF
4.669841208333334,SPI,MOSI: 0xD0
4.669845500000000,SPI,MOSI: 0x80
4.669849916666666,SPI,MOSI: 0x55
4.669854291666667,SPI,MOSI: 0x55
4.669858666666666,SPI,MOSI: 0x57
BUSY ...
